wallet,amount
A7hUPpwncDxp7VGcTSsGPtMcZvtbLuvcHHBuFGKVn6G3,25000
6tSk9FE36z2R8puiuKsnYjzS7Z7SARha4EYDPyCL9smM,15000
7mCSak83fJZzhHLMvpHT18L143PjuHmSficbBbATXapM,325000
EDHrq6y1af6kjXaPFNUmwnCpHjFbdRva611JtxZpoLnE,75000
8HNuXcF8PN9TpVGRDx2zroYuCYqJ4VYQiZdpComw8gYz,50000
6ohejCd8GKeEtKdWC1UFpskTofTWrNts4TAni2ud4rp4,25000
4qa9qRzeZEC8etKf2zXn6ekVcKgHrcwYSBvff8VpZrmx,50000
5tnebVQmjNQsVSZTRmbnwU7niSqJN7VqFe9Q5QAGVcGK,50000
GZXvNRrmAhKh4QNh9L22etdwbfeeXjeRXUWEzsgeVqTA,50000
2kRxZLMpyLnmeP1e759YepBvVLTzfZzvididzEQGpTyK,25000
6HLiLL1Dy7r9zfAVEEr3BjeZc6LBfoXS3jsLA4EG4M9w,50000
8gEXFAzpEwdcAGJUsfYMM34HzzX2JKzNJwsyniCXg3rM,50000
Az4P486EV5Ba2bQzAP13AeiW7ULPQhwngnZswiZxEoh8,25000
46exH47YbLVxS6NEB58ZWsQnFBb9sFFcDQwXLtAVK6ww,50000
8AbNagVvS2ak7RXd4LyhSPqVHMe3HmkJ3UN1UfSF74dN,75000
A445myrmMzmrruGRetJpRVZ3KpfnHZqE9gryvZ218Zjn,75000
2YQmjRQJLH7DoqtTSrtPLttY8CCjGsuc4pha7uHu7DRy,350000
4vkhB5NaszwB2Vkh2kEot1eXq9qXk4UKoq5TDUcCohWB,50000
Dp7T2fTn69m4GwzZPo75ijxsjp6S9ZfvEdj4bGsm3wB1,25000
9sMw3Arx1Ht2RVXWRV6ye1JBhbFvF1Yh76NKwmc6v9wo,275000
8cW1dLxZaFSX6TzUSn3YcDczHB9xDUaTkmwuV7swX7Tv,125000
6PtGUzrkGbwdbxSTNtro8i9oo8zdqrm1kShoRctLQZHh,50000
BHzTc1YT8R1TPXxrsLfNWiY1wbzCH7SokLMhpcmZRh94,50000
33Bt3LzexieDEGVEqsvEfGg6ZXVrm3ufiT5x2PiFyHK1,275000
